id,unique_key,name,sku,category,brand,unit,sale price,price,stock
46479,20E13092-F971-4740-B104-01D38A06020B,     SK hynix 4 gb & 8GB 1Rx16 PC4-3200AA-SCO-11 DDR4 Laptop RAM with Service & updating charges,P046478,RAM,Non Brand,pice,900,1400,6
46442,FE686F10-E35A-488D-910B-41878C78AD3D," Brother DCP-T520W Inkjet refill tank system printer (Print/Copy/Scan),Wi-Fi wireless network, Mobile-Print,Print speed black up to 17 IPM & Color 9.5 IPM, Memory 128MB, Print Resolution 1200x 6000 DPI,150 sheets tray,1 Line Display.Warranty:1 Year.",P046441,Printer,Brothers,pice,21000,22000,0
46351,2D700909-FA23-47A3-AA54-379ACB8241CB," Falcon Xtreme Multimedia Soundbar 95 W(BT,USB,Aux Display, Remote) 5:1",P046350,Bluetooth Speaker,Xtreme,pice,7000,7300,0
46355,952C9A78-1DBD-42AE-AEEF-7CCC37656BD4, Original Dell Laptop  Bag,P046354,Bag,DELL,pice,0,1200,4
46211,F583B29B-0236-4201-AFE0-BE274F742577,A Data 128 GB UC310 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046210,Pen Drive,ADATA,pice,900,1000,0
46212,D038E8E2-D2E1-4F34-A333-7455CF64CB43,A Data 128 GB UC310 ECO Green USB 3.2 Mobile Disk  Warranty 5 Years,P046211,Pen Drive,ADATA,pice,900,1000,0
46213,921B4AC9-C02C-4948-83F2-400389EC74D1,A Data 128 GB UR340 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046212,Pen Drive,ADATA,pice,950,1000,0
46214,34C5D873-5A90-416D-90D4-E363F3B5DD4B,A Data 128 GB UV150 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046213,Pen Drive,ADATA,pice,900,1000,0
46215,F28D2F80-7C2F-4085-944B-6E729F50C7A3,A Data 64 GB UC310 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046214,Pen Drive,ADATA,pice,550,600,0
46216,C5530B30-2A98-4CDA-AD96-B72DFF56CF45,A Data 64 GB UR340 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046215,Pen Drive,ADATA,pice,600,650,0
46217,29ADC547-AC99-47F3-B503-B9B9D8736EE8,A Data 64 GB UR350 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046216,Pen Drive,ADATA,pice,600,650,0
46218,906669CC-3EE7-4A62-9DC7-04C210B69621,A Data 64 GB UV128 Black blue USB 3.2 Mobile Disk  Warranty 5 Years,P046217,Pen Drive,ADATA,pice,550,600,1
46219,17B0125D-CE30-4F61-955F-14A2EACB3298,A Data 64 GB UV150 Black USB 3.2 Mobile Disk  Warranty 5 Years,P046218,Pen Drive,ADATA,pice,550,600,0
45565,776E514E-6402-49E9-8369-38F88B06FE2C,A.TECH OP185 US 3D Optical Mouse,P45565,Mouse,A.Tech,pice,90,150,18
45755,3230F621-D9AF-4D29-9B6B-1E722124CBDC,A4 tech BH220 Wireless headset 1 year warranty,P45755,Headphone,A4 Tech,pice,2200,2400,2
45758,C2EB5807-F36C-4CB5-896B-6C860535EB28,A4 Tech bloody G200s Gaming Headset 1 year warranty,P45758,Headphone,A4 Tech,pice,1550,1750,2
